"school","university"
"ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ (ΟΡΕΣΤΙΑΔΑ)","ΔΠΘ"
"ΑΓΡΟΤΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ & ΑΝΑΠΤΥΞΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΑΞΙΟΠΟΙΗΣΗΣ ΦΥΣΙΚΩΝ ΠΟΡΩΝ ΚΑΙ ΓΕΩΡΓΙΚΗΣ ΜΗΧΑΝΙΚΗΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΒΙΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΕΚΠΑ"
"ΒΙΟΛΟΓΙΑΣ (ΗΡΑΚΛΕΙΟ)","ΠΑΝ.ΚΡΗΤΗΣ"
"ΒΙΟΛΟΓΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
"ΒΙΟΛΟΓΙΑΣ (ΠΑΤΡΑ)","ΠΑΝ.ΠΑΤΡΩΝ"
"ΒΙΟΛΟΓΙΚΩΝ ΕΦΑΡΜΟΓΩΝ & ΤΕΧΝΟΛΟΓΙΩΝ (ΙΩΑΝΝΙΝΑ)","ΠΑΝ.ΙΩΑΝΝΙΝΩΝ"
"ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΑΘΗΝΑ)","ΓΕΩΠΟΝΙΚΟ ΠΑΝ."
"ΒΙΟΧΗΜΕΙΑΣ & ΒΙΟΤΕΧΝΟΛΟΓΙΑΣ (ΛΑΡΙΣΑ)","ΠΑΝ.ΘΕΣΣΑΛΙΑΣ"
"ΓΕΩΠΟΝΙΑΣ (ΘΕΣΣΑΛΟΝΙΚΗ)","ΑΠΘ"
