"title","author","image","class"
"Αναπτυξη εφαρμογών σε προγραμματιστικό περιβάλλον","Βλισίδης Γιώργος","book01.jpg","Γ Λυκείου"
"Άλγεβρα Α  Λυκείου","Γρηγοριάδου Μελίνα","book02.jpg","Α Λυκείου"
"Άλγεβρα Β  Λυκείου","Βασιλειάδης Χρήστος","book03.jpg","Γ Λυκείου"
"Άλγεβρα Β  Λυκείου","Γρηγοριάδου Μελίνα","book04.jpg","Β Λυκείου"
"Άλγεβρα Β  Λυκείου","Πουρσανίδης – Νουλίκας","book05.jpg","Β Λυκείου"
"Άλγεβρα Β  Λυκείου","Χατζηδημητριάδης Αθαν.","book28.jpg","B Λυκείου"
"Αρχές Οικονομικής Θεωρίας","Ζαφειρίδης Ευάγγελος","book06.jpg","Γ Λυκείου"
"Αρχικοί χρόνοι ρημάτων","Τσιαρτσιάνης Ζήσης","book07.jpg",
"Γραμματική Αρχαίας Ελληνικής","Μελεγρινου Πηνελόπη","book08.jpg",
"Έκφραση Έκθεση Α Λυκείου","Τσιαρτσιάνης Ζήσης","book09.jpg","Α Λυκείου"
"Έκφραση Έκθεση Β Λυκείου","Τσιαρτσιάνης Ζήσης","book10.jpg","Β Λυκείου"
"Έκφραση Έκθεση Γ Λυκείου","Τσιαρτσιάνης Ζήσης","book11.jpg","Γ Λυκείου"
"Λατινικά Ανθρωπιστικών Σπουδών","Καρβέλα Χριστίνα","book12.jpg","Γ Λυκείου"
"Λατινικά Γ Λυκείου","Κούμπη Κωνσταντίνα","book13.jpg","Γ Λυκείου"
"Λεξικό Συνωνύμων - Αντωνύμων","Αποστολου Γεώργιος","book14.jpg",
"Μαθηματικά προσανατολισμού","Γρηγοριάδου Μελίνα","book15.jpg","Β Λυκείου"
"Μαθηματικά προσανατολισμου θετικών σπουδών","Μοναστηρίδης Αλέξ.","book16.jpg","Β Λυκείου"
"Μαθηματικά προσανατολισμού","Μοναστηρίδης Αλέξ.","book17.jpg","Β Λυκείου"
"Μαθηματικά προσανατολισμού","Γρηγοριάδου Μελίνα","book18.jpg","Γ Λυκείου"
"Μαθηματικά προσανατολισμού – ασκήσεις","Γρηγοριάδου Μελίνα","book19.jpg","Γ Λυκείου"
"Μαθηματικά προσανατολισμού","Μοναστηρίδης Αλέξ.","book20.jpg","Γ Λυκείου"
"Φυσική γενικής παιδείας","Νυστάζος Γιώργος","book21.jpg","Α Λυκείου"
"Φυσική γενικής παιδείας","Δισλογλου Κωνσταντίνος","book22.jpg","Α Λυκείου"
"Φυσική προσανατολισμού θετικών σπουδών","Δισλογλου Κωνσταντίνος","book23.jpg","Β Λυκείου"
"Φυσική προσανατολισμού","Μιχαλούδης Απόστολος","book24.jpg","Β Λυκείου"
"Φυσική προσανατολισμού","Νυστάζος Γιώργος","book25.jpg","Β Λυκείου"
"Φυσική προσανατολισμού","Νυστάζος Γιώργος","book26.jpg","Γ Λυκείου"
"Φυσική προσανατολισμού","Δισλογλου Κωνσταντίνος","book27.jpg","Γ Λυκείου"
